SID;NAME;ISO;YEAR;BASIN;SUB BASIN;NATURE;ISO_TIME;COORDS;TOTAL_HRS;DAY_HRS;NIGHT_HRS;USA_SSHS;WIND_CALC_MEAN;PRES_CALC_MEAN;STORM_SPD_MEAN;STORM_DR_MEAN;V_LAND_KN;34KN_POP;34KN_ASSETS;64KN_POP;64KN_ASSETS;96KN_POP;96KN_ASSETS;CPI;TOTAL_DAMAGE_(000$);TOTAL_DEATHS;Air transport, freight (million ton-km);Arable land (hectares per person);Cereal yield (kg per hectare);Food production index (2004-2006 = 100);GDP growth (annual %);GDP per capita (constant 2010 US$);Net flows from UN agencies US$;Life expectancy at birth, total (years);Mobile cellular subscriptions (per 100 people);Population density (people per sq. km of land area);Adjusted savings: education expenditure (% of GNI);Rural population (% of total population);Income_level_Final;TOTAL_AFFECTED;Population, total;Population_2000;Population_2005;Population_2010;Population_2015;
1949163N07145;DELLA;JPN;1949;WP;WP;TS;['1949-06-21 03:00:00', '1949-06-22 03:00:00', '1949-06-22 06:00:00', '1949-06-22 09:00:00', '1949-06-22 12:00:00', '1949-06-23 12:00:00', '1949-06-23 15:00:00', '1949-06-24 00:00:00', '1949-06-24 03:00:00'];[[35.67, 130.99], [38.35, 135.07], [38.82, 136.18], [39.15, 137.11], [39.47, 138.0], [41.7, 145.0], [42.06, 146.0], [44.0, 149.5], [44.95, 150.75]];0;0;0;0;39.13333333;1000.333333;19;91.44444444;99.82;;;;;;;9.327572492;;419;;0.059614716;4173.5;67.79;;8607.657082;0;67.66609756;;258.9119171;2.8678781;36.728;Low;194046;92500572;126843000;127773000;128070000;127141000;
1950241N23140;JANE;JPN;1950;WP;WP;ET;['1950-09-02 18:00:00', '1950-09-03 12:00:00', '1950-09-05 00:00:00'];[[31.71, 134.12], [38.48, 137.98], [46.7, 152.8]];6;0;6;-1;76.4;974.8333333;23;37.66666667;99.82;;;;;;;9.431936939;;509;;0.059614716;4173.5;67.79;;8607.657082;0;67.66609756;;258.9119171;2.8678781;36.728;Low;642117;92500572;126843000;127773000;128070000;127141000;
1951224N12316;CHARLIE;JAM;1951;NAm;CS;TS;['1951-08-17 21:00:00', '1951-08-18 12:00:00'];[[17.34, -75.41], [18.3, -79.4]];15;0;15;1;88.5;974.5;15.5;283.5;132.4;2788659;21481978182;2788659;21481978182;2552903;19483462361;10.17553363;56000;154;;0.100540679;868.3;69.93;;3796.219401;0;64.77;;152.4536473;2.5783036;66.231;Low;20200;1628520;2654701;2740003;2810460;2891021;
1951337N09150;AMY;PHL;1951;WP;WP;TS;['1951-12-08 18:00:00', '1951-12-08 21:00:00', '1951-12-09 00:00:00', '1951-12-10 12:00:00', '1951-12-11 18:00:00', '1951-12-11 21:00:00', '1951-12-12 00:00:00', '1951-12-12 03:00:00', '1951-12-12 06:00:00', '1951-12-12 09:00:00', '1951-12-12 12:00:00', '1951-12-12 15:00:00', '1951-12-12 18:00:00', '1951-12-12 21:00:00', '1951-12-13 00:00:00', '1951-12-13 03:00:00', '1951-12-13 06:00:00', '1951-12-13 09:00:00', '1951-12-13 12:00:00', '1951-12-13 15:00:00', '1951-12-13 18:00:00', '1951-12-13 21:00:00', '1951-12-14 00:00:00', '1951-12-14 03:00:00', '1951-12-14 06:00:00', '1951-12-14 09:00:00', '1951-12-14 12:00:00', '1951-12-14 15:00:00', '1951-12-14 18:00:00', '1951-12-14 21:00:00', '1951-12-15 00:00:00', '1951-12-15 03:00:00', '1951-12-15 06:00:00', '1951-12-15 09:00:00'];[[11.52, 127.35], [11.34, 127.09], [11.17, 126.78], [10.48, 120.78], [11.27, 118.44], [11.41, 118.33], [11.55, 118.27], [11.64, 118.26], [11.7, 118.28], [11.75, 118.28], [11.82, 118.28], [11.91, 118.31], [12.03, 118.35], [12.18, 118.38], [12.32, 118.42], [12.41, 118.47], [12.47, 118.52], [12.53, 118.58], [12.55, 118.6], [12.49, 118.52], [12.38, 118.39], [12.29, 118.27], [12.2, 118.18], [12.1, 118.2], [12.0, 118.24], [11.89, 118.26], [11.78, 118.25], [11.69, 118.22], [11.6, 118.16], [11.5, 118.08], [11.4, 117.95], [11.32, 117.77], [11.26, 117.56], [11.21, 117.35]];15;0;15;2;84.48823529;979.5490196;3;161.6470588;119.2;20464826;1.88028E+11;12675908;1.13105E+11;5618193;48973327246;10.17553363;;569;;0.180442234;996.3;25.68;;1059.467412;0;61.105;;91.06500034;2.757732;69.703;Low_Middle;60000;26269734;77991755;86326250;93966780;102113212;
1952180N05144;EMMA;PHL;1952;WP;WP;TS;['1952-07-01 18:00:00', '1952-07-01 21:00:00', '1952-07-03 15:00:00', '1952-07-03 18:00:00', '1952-07-03 21:00:00'];[[9.57, 127.79], [9.63, 127.19], [12.38, 119.42], [12.63, 118.97], [12.87, 118.55]];3;2;1;1;83.92;980.6;10.8;291.4;110.691;;;;;;;10.41035363;;19;;0.180442234;996.3;25.68;;1059.467412;0;61.105;;91.06500034;2.757732;69.703;Low_Middle;103;26269734;77991755;86326250;93966780;102113212;
1954278N12302;HAZEL;HTI;1954;NAm;CS;TS;['1954-10-11 18:00:00', '1954-10-11 21:00:00', '1954-10-12 00:00:00'];[[16.9, -74.9], [17.14, -74.81], [17.4, -74.7]];6;0;6;3;105;976.6666667;5.333333333;23.33333333;117;10396164;21676775751;3570247;7214209939;1234448;2202891517;10.52776364;;410;;0.228313746;1031;63.29;;993.2466563;0;41.762;;143.0313498;1.2844422;84.407;Low_Middle;250000;3866159;8463806;9195288;9949322;10695542;
1955255N19294;HILDA;MEX;1955;NAm;GM;TS;['1955-09-16 03:00:00', '1955-09-16 06:00:00', '1955-09-17 15:00:00', '1955-09-17 18:00:00', '1955-09-18 21:00:00', '1955-09-19 00:00:00', '1955-09-19 03:00:00'];[[19.29, -85.9], [19.4, -86.4], [20.91, -91.56], [21.0, -92.0], [21.91, -95.37], [22.0, -95.9], [22.05, -96.44]];0;0;0;3;90.28571429;968.2857143;9.428571429;280.2857143;119.1;8356553;1.32348E+11;3436347;51707772746;1092040;13485104502;10.47300041;;300;;0.500615202;1104.9;23.69;;3907.493801;0;57.077;;20.04478304;3.0032392;49.247;Low;11432;37771859;98899845;106005203;114092963;121858258;
1957261N12135;GLORIA;HKG;1957;WP;WP;TS;['1957-09-22 09:00:00', '1957-09-22 00:00:00', '1957-09-22 03:00:00', '1957-09-22 06:00:00'];[[21.66, 113.97], [21.17, 115.03], [21.08, 114.64], [21.4, 114.3]];21;0;21;-1;83.6;976.4166667;8;297.25;61.8;8148473;1.22602E+12;0;0;0;0;10.98800719;;8;;0.004103406;2016.8;128.21;;3380.66007;0;66.96168293;;3105.980392;2.0989835;14.8;High;111;3075605;6665000;6813200;7024200;7291300;
1959263N11160;VERA;JPN;1959;WP;WP;TS;['1959-09-26 09:00:00', '1959-09-26 12:00:00', '1959-09-26 15:00:00', '1959-09-26 18:00:00', '1959-09-26 21:00:00', '1959-09-27 00:00:00', '1959-09-27 03:00:00', '1959-09-26 06:00:00', '1959-09-27 06:00:00'];[[33.63, 135.69], [35.2, 136.47], [36.89, 137.56], [38.47, 138.91], [39.7, 140.3], [40.64, 141.88], [41.54, 143.79], [32.22, 135.22], [42.29, 145.89]];21;0;21;-1;93.65555556;956.3703704;33.11111111;39.33333333;155.3;59148872;7.23628E+12;37883958;4.48452E+12;11097297;1.36835E+12;11.40197989;600000;5098;;0.059614716;4173.5;67.79;;8607.657082;0;67.66609756;;258.9119171;2.8678781;36.728;Low;1500000;92500572;126843000;127773000;128070000;127141000;
1960154N17116;MARY;HKG;1960;WP;WP;TS;['1960-06-08 12:00:00', '1960-06-08 15:00:00', '1960-06-08 18:00:00'];[[21.88, 113.8], [22.11, 113.82], [22.34, 113.86]];6;6;0;1;77.26666667;976.7777778;5;9.666666667;90.4;8148473;1.22602E+12;8148473;1.22602E+12;0;0;11.56821608;;45;;0.004103406;2016.8;128.21;;3380.66007;0;66.96168293;0;3105.980392;2.0989835;14.8;High;15127;3075605;6665000;6813200;7024200;7291300;
1960173N08137;OLIVE;PHL;1960;WP;WP;TS;['1960-06-25 12:00:00', '1960-06-25 15:00:00', '1960-06-25 18:00:00', '1960-06-25 21:00:00', '1960-06-26 00:00:00', '1960-06-26 03:00:00', '1960-06-26 06:00:00', '1960-06-26 09:00:00', '1960-06-26 12:00:00', '1960-06-26 15:00:00', '1960-06-26 18:00:00', '1960-06-26 21:00:00', '1960-06-27 00:00:00', '1960-06-27 03:00:00', '1960-06-27 06:00:00', '1960-06-27 09:00:00', '1960-06-27 12:00:00', '1960-06-25 03:00:00', '1960-06-25 06:00:00', '1960-06-25 09:00:00', '1960-06-27 15:00:00'];[[13.33, 125.2], [13.44, 124.68], [13.57, 124.17], [13.73, 123.61], [13.9, 123.1], [14.06, 122.72], [14.2, 122.41], [14.33, 122.11], [14.47, 121.83], [14.65, 121.56], [14.85, 121.27], [15.07, 120.96], [15.3, 120.62], [15.51, 120.22], [15.74, 119.8], [15.99, 119.44], [16.33, 119.07], [13.0, 127.05], [13.1, 126.4], [13.21, 125.78], [16.87, 118.64]];3;3;0;0;79.79047619;968.3333333;9.428571429;296.4761905;131.2;53758818;4.89404E+11;13260395;1.41361E+11;2753569;22355219334;11.56821608;;100;;0.180442234;996.3;25.68;;1059.467412;0;61.105;0;91.06500034;2.757732;69.703;Low_Middle;50000;26269734;77991755;86326250;93966780;102113212;
